id	name	code	cost	suggested	folder
6a8f3489ff4bc0f14e9997ff	قطّاعة ومبشرة المطبخ متعددة الاستخدام 6×1	84Lljqz	155	300	1AgPDBOB0zRavNZe1XiMWZ93CzVT9d0Vk
6aa98263ca38d5013c4be469	شنطة الصيانة بالطاقة الشمسية 2 كشاف	UDC4pP3	630		1VohszgRuFgmKngfXaybkvdIB8pXMC0x_
6aae59d3ca38d5013cf8207e	موبايل celphy c10 القلاب بشريحتين	rTTxWHg	900	1300	1gyd-6uzoEHu3EG9hyCD-z-DvAe1_P_mI
6a9c3d2bc9d99a6b86da4ff6	كشاف الإضاءة المغناطيسي متعدد الاستخدامات	yOgS28x	490	700	1U9B_os4qqUTS2AkV7oi6XXi9Ps0MVFhl
6aa16dfdca38d5013ca5eea5	كرات الكريستال الباردة لمساج الوجه وتقليل التجاعيد	sW8g3A2	180	350	1FWraPH3kFVT4nYtjee-D61xk3czkboGX
6aa816c7ca38d5013cab91ee	دهان حماية المعادن وعزل الصدأ	DKICLqi	190	350	18TdT21RMs3lq09jZkG94BMRgsVzLqhh8
6aa81321ca38d5013caa41fc	مجفف ومعقم الأحذية الحراري 360	AzlqBJz	270	500	1L51z_jkMyG6LarFpyw65kC6BK0SFWj9i
6aaa5a0dca38d5013c7eda9f	حاجب الشمس ووهج الإضاءة للسيارة	iJb82s8	170	350	1o0RxDKBlDyn6Ww1hkZzBmDD-IS7A4HDl
6aa80df0ca38d5013ca7d692	معقم وحافظة فرش الأسنان الذكية بالأشعة uv	xiafOag	380	700	1TlrQS6mG46lfF_gpJBuChuzJ7u3OXyHM
6aaabda9ca38d5013cc254eb	كاشف أجهزة التجسس والكاميرات المخفية الذكي	DrzEfp4	700	1050	1u2XRITOghmFjmPu13Kxwm7d0GFJeBVSN
6aa823c0ca38d5013cb2c43b	المثقاب الكهربائي الدقيق للأعمال اليدوية	d5svT9g	380	700	1ZHQesipHSjBSUlYE5t6vo01cT7X6yU0T
6ab24619ca38d5013cad069c	جهاز طرد وتدريب الكلاب بالموجات الصوتية	Eu4sOUS	710		13O4N2tp7zD4njzMwgWAlxyavE5NQ8lAo
6aae673cca38d5013c02a7a3	موبايل enes k360 الكلاسيكي	BDmXJsc	650	950	1WUkUTdZ7IevHlzw73d5f9kKV0TuS5UAl
6aa839ecca38d5013cba2c87	فرشاة تنظيف ومساج الوجه الذكية	d1ja2qg	380		1IdwkZjKIA4f9vt2Be7kJ0NtI92hIGzZT
6aa98f18ca38d5013c4e571d	نعل المساج المغناطيسي لتحفيز القدم	vSBCxGi	135	250	153UgcqYOVnSWSC3VJQI-WbSqkgay36Cu
69e1350f5a30089224de3469	فرشاة الأسنان الاوتوماتيكية	g6WRd29	270	600	1U7BSsqUo6RqU0VUze2gu96xP-eCrdwfW
688e725bb4f2089d481185f8	جهاز شفط الرؤوس السوداء وتنظيف البشرة بالماء	3ZQriRA	315	500	1b5GqErZGI0z5QwPkpU6PDAml_RsZc39X
694e747fdbe98faafe7dd717	أقراص مياة المساحات وتلميع الزجاج	DiqbIPn	90	200	1G5UK9To569XI5DYxOZuteDZ0VxxoVJ7l
681e11093a87ea85f4c08793	مضخة الميه للسيارات والجناين	eWHmZ8V	700		1uO8v3mTTm2Vb6sIqe_cb4nRvjB-fDBjw
69c1db9dcc2eaa4914727bbd	جهاز التنظيف بالبخار 2026	NUexTPk	1200	1700	1_-8pPX_g1kS1STNN6KTZN608Kqs1xwSz
69e974b7d84fc7e3c9390a70	صاعق الناموس الكهربائي	CQX3dfR	125	300	15fqp16MqkqrqcEmbf_g2MoRU1BQka5qB
67ab95061542b1b28cd628e6	ستارة شبك نور مقاس 3x3	f7iYBdV	330	500	1Oi5wLxlIaCv7CYTXbc4CCEvu6JiMx16p
6a67f7e7a4ea38565147fc40	فرشاة الشعر بالبخار والمساج اللاسلكية	1DMjJIJ	400	700	1V-MO6mGnh1_fk67r7NoK8PJolllLfOx5
